I_DATA_SET1,SOURCE_RES,SOURCE_PSCHEMA,SOURCE_LSCHEMA,SOURCE_TABLE1,SOURCE_TABLE2,SOURCE_TAB,TARGET_PSCHEMA,TARGET_LSCHEMA,TARGET_TABLE1,TARGET_TABLE2,TARGET_TAB,TARGET_RES,I_DATA_SET2
253832001,DWH,EDW_SOR.EDW_STG,EDW_SOR_STG,TMP_PCA_MAP_PD_ITM,EDW_SOR.EDW_STG.TMP_PCA_MAP_PD_ITM,EDW_SOR_STG.TMP_PCA_MAP_PD_ITM,EDW_SOR.EDW_DMT,EDW_DMT,PCA_PFT_ANL_FCT,EDW_SOR.EDW_DMT.PCA_PFT_ANL_FCT,EDW_DMT.PCA_PFT_ANL_FCT,DWH,253832001
257451001,DWH,EDW_SOR.DWH_STAGING,EDW_DWH_STG,I$_LD_LOANS_AND_DEPOSITS,EDW_SOR.DWH_STAGING.I$_LD_LOANS_AND_DEPOSITS,EDW_DWH_STG.I$_LD_LOANS_AND_DEPOSITS,EDW_SOR.EDW_STG,EDW_SOR_STG,T_LD_PD,EDW_SOR.EDW_STG.T_LD_PD,EDW_SOR_STG.T_LD_PD,DWH,257451001
1817001,DWH,EDW_SOR.EDW_STG,EDW_SOR_STG,T_PD,EDW_SOR.EDW_STG.T_PD,EDW_SOR_STG.T_PD,EDW_SOR.EDW_SOR,EDW_SOR,AR_X_PD,EDW_SOR.EDW_SOR.AR_X_PD,EDW_SOR.AR_X_PD,DWH,1817001
255816001,DWH,EDW_SOR.EDW_STG,EDW_SOR_STG,T_LMT_UP,EDW_SOR.EDW_STG.T_LMT_UP,EDW_SOR_STG.T_LMT_UP,EDW_SOR.EDW_SOR,EDW_SOR,AR_X_CL,EDW_SOR.EDW_SOR.AR_X_CL,EDW_SOR.AR_X_CL,DWH,255816001
256152001,DWH,DWH.DWH,DWH_DWH,LD_INVESTOR,DWH.DWH.LD_INVESTOR,DWH_DWH.LD_INVESTOR,EDW_SOR.EDW_SOR,EDW_SOR,IP_CL,EDW_SOR.EDW_SOR.IP_CL,EDW_SOR.IP_CL,DWH,256152001
1896001,DWH,EDW_SOR.EDW_STG,EDW_SOR_STG,T_CMS_CARD,EDW_SOR.EDW_STG.T_CMS_CARD,EDW_SOR_STG.T_CMS_CARD,EDW_SOR.EDW_SOR,EDW_SOR,AR,EDW_SOR.EDW_SOR.AR,EDW_SOR.AR,DWH,1896001
256310001,DWH,EDW_SOR.DWH,EDW_DWH,KDR_FOLDERS,EDW_SOR.DWH.KDR_FOLDERS,EDW_DWH.KDR_FOLDERS,EDW_SOR.EDW_STG,EDW_SOR_STG,T_KDR_FUTURESDEALS,EDW_SOR.EDW_STG.T_KDR_FUTURESDEALS,EDW_SOR_STG.T_KDR_FUTURESDEALS,DWH,256310001
256667001,DWH,EDW_SOR.DWH,EDW_DWH,ACI_NFI_BANCA_ALLOC_CUS,EDW_SOR.DWH.ACI_NFI_BANCA_ALLOC_CUS,EDW_DWH.ACI_NFI_BANCA_ALLOC_CUS,EDW_SOR.EDW_STG,EDW_SOR_STG,T_PFS_BC_ACI_NFI,EDW_SOR.EDW_STG.T_PFS_BC_ACI_NFI,EDW_SOR_STG.T_PFS_BC_ACI_NFI,DWH,256667001
257250001,DWH,EDW_SOR.DWH_STAGING,EDW_DWH_STG,T_PD_PAYMENT_DUE,EDW_SOR.DWH_STAGING.T_PD_PAYMENT_DUE,EDW_DWH_STG.T_PD_PAYMENT_DUE,EDW_SOR.EDW_STG,EDW_SOR_STG,T_LD_PD,EDW_SOR.EDW_STG.T_LD_PD,EDW_SOR_STG.T_LD_PD,DWH,257250001
254185007,ODS,BPM.SOR,BPM_SOR,RC_LIST_MARITAL_STATUS,BPM.SOR.RC_LIST_MARITAL_STATUS,BPM_SOR.RC_LIST_MARITAL_STATUS,DWH.DWH,DWH_DWH,BPM_LST_MARITAL_STATUS_TSD,DWH.DWH.BPM_LST_MARITAL_STATUS_TSD,DWH_DWH.BPM_LST_MARITAL_STATUS_TSD,ODS,254185007
2404007,ODS,RISK.DB_AOS.dbo,RISK_AOS,BB_FTR,RISK.DB_AOS.dbo.BB_FTR,RISK_AOS.BB_FTR,DWH.DWH,DWH_DWH,RAOS_BB_FTR,DWH.DWH.RAOS_BB_FTR,DWH_DWH.RAOS_BB_FTR,ODS,2404007
3112007,ODS,DWH_STG.DWH_STAGING,DWH_STAGING_LOGICAL,T_DATES,DWH_STG.DWH_STAGING.T_DATES,DWH_STAGING_LOGICAL.T_DATES,DWH.DWH,DWH_LOGICAL,DATES,DWH.DWH.DATES,DWH_LOGICAL.DATES,ODS,3112007
7518007,ODS,DWH.DWH,TCB_CMS,CMS_TRANSACTION,DWH.DWH.CMS_TRANSACTION,TCB_CMS.CMS_TRANSACTION,,Oracle_T24DB_TRG,TEMP_CARD_10,.TEMP_CARD_10,Oracle_T24DB_TRG.TEMP_CARD_10,ODS,7518007
3652007,ODS,DWH.DWH_STAGING,DWH_STG,I$_EB_CONTRACT_BALANCES,DWH.DWH_STAGING.I$_EB_CONTRACT_BALANCES,DWH_STG.I$_EB_CONTRACT_BALANCES,DWH.DWH,DWH_LOGICAL,EB_CONTRACT_BALANCES_TSD,DWH.DWH.EB_CONTRACT_BALANCES_TSD,DWH_LOGICAL.EB_CONTRACT_BALANCES_TSD,ODS,3652007
6798007,ODS,DWH.DWH_STAGING,DWH_STG,T24S$_0021_SV_2,DWH.DWH_STAGING.T24S$_0021_SV_2,DWH_STG.T24S$_0021_SV_2,DWH.DWH,DWH_LOGICAL,T24M_0021_MV6,DWH.DWH.T24M_0021_MV6,DWH_LOGICAL.T24M_0021_MV6,ODS,6798007
254859007,ODS,ICS.ICS_OPS,ICS_LOGICAL,TBL_ICS_TT_TONG_HOP_KHAC_TCTD,ICS.ICS_OPS.TBL_ICS_TT_TONG_HOP_KHAC_TCTD,ICS_LOGICAL.TBL_ICS_TT_TONG_HOP_KHAC_TCTD,DWH.DWH,DWH_DWH,TBL_ICS_TTTH_KHAC_TCTD,DWH.DWH.TBL_ICS_TTTH_KHAC_TCTD,DWH_DWH.TBL_ICS_TTTH_KHAC_TCTD,ODS,254859007
254986007,ODS,DWH_STG.DWH_STAGING,DWH_STAGING_LOGICAL,T_POSTING_RESTRICT,DWH_STG.DWH_STAGING.T_POSTING_RESTRICT,DWH_STAGING_LOGICAL.T_POSTING_RESTRICT,DWH.DWH,DWH_LOGICAL,POSTING_RESTRICT,DWH.DWH.POSTING_RESTRICT,DWH_LOGICAL.POSTING_RESTRICT,ODS,254986007
2946002,OGG,T24_REP.T24REP,T24_REP,OGG_ACCOUNT_ODS,T24_REP.T24REP.OGG_ACCOUNT_ODS,T24_REP.OGG_ACCOUNT_ODS,BPM_SOR_REF.BPM_SOR_REF,BPM_SOR_REF,LN_AR,BPM_SOR_REF.BPM_SOR_REF.LN_AR,BPM_SOR_REF.LN_AR,OGG,2946002
