target,source,ID
EDW_SOR.AR,EDW_SOR_STG.T_LC,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_ICRD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_LMT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_DWH.MBB_CUSTOMERS_IDEN,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_KDR_LIMIT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_DWH.ECM_LC_TRANS_DETAILS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_AC_AZ,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_MM,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_AZ_AC,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_MD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_DWH.CMS_CONTRACT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_DWH.ECM_LIST_PROCESS_RESULT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_DWH.ECM_LC_TRANSACTIONS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_CMS_CONTRACT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_ACI_EXCEPTION_AR,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_DWH.CMS_CONTRACTTYPEPARAMETERS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
