src_tab,ID
EDW_DWH.KDR_BRANCHES,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_TYPEOFINSTR,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.T_LD_PROGRAM,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_TRANGTHAI,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_FUTURES,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_MARKETST,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_FT_TXN_TYPE_CONDITION,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_COLLATERAL_CODE,EDW_DMT.PFS_AR_FCT_DLY
EDW_SOR_STG.T_CMS_DIC_RESPCODE,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_CPTYDEFT,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_PHONGTOA_TCB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_CT_CATEGORY_TCB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.EB_LOANS_PURPOSE_TCB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.TD_KVRRTYPE,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_PAYMENTCLASS,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_CT_TRANSFER_CODE_TCB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_PURPOSE_TCB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_CATEGORY,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_RELATION,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.T_GROUP_ACC_TCB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_FT_COMMISSION_TYPE,EDW_DMT.PFS_AR_FCT_DLY
EDW_ADM.TBL_PFS_STT_RAW,EDW_DMT.PFS_AR_FCT_DLY
EDW_ADM.TBL_PFS_PD_RAW,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_PRODUCT_TCB,EDW_DMT.PFS_AR_FCT_DLY
